id	filename	md5	size	state
00ef8bce-472b-44e8-9d23-4ad2abdb5548	unc.edu.0b3c65ed-ff55-45c9-b6a3-dd3a596a0271.1157092.rsem.genes.results	7c09b78112b9cb190b61da61e71ce8b9	1526300	live
014bae2c-cea6-4522-9151-9ffb4906351f	UNCID_381167.TCGA-BH-A18K-11A-13R-A12D-07.110714_UNC13-SN749_0082_AD0DGMABXX.1.trimmed.annotated.gene.quantification.txt	c31b479ceb439d67f11cae82640ee631	988032	live
01ed9915-b360-4636-aa58-db0b6ae5e27b	unc.edu.0a9af348-b2a7-4fad-b939-7eda53e4f5a0.2090537.rsem.genes.results	91e00f4a71ad6538adb52dba280ce180	1502259	live
023a28b1-01d4-4eac-b7f6-1e476b4a9b85	unc.edu.75cd6423-52b8-4d29-97de-1fe2583dbac1.1145389.rsem.genes.results	215d50c0a1c3e65f1a7c9dd904f44867	1517227	live
025b1225-2628-4bd7-b471-ddc41f304b21	UNCID_420782.TCGA-BH-A0BR-01A-21R-A115-07.110608_SN254_0230_AC03JGABXX.7.trimmed.annotated.gene.quantification.txt	918559bfe906000602ebfe62841b2e7b	978228	live
026d7abd-7781-42bb-a0c0-fea10a23f273	unc.edu.4eb0c00d-595c-47ee-bcad-818c7723656d.1148261.rsem.genes.results	67098d35ec60dbd4e06b6db4b682321c	1509683	live
02f26a4b-c834-4f3e-93e7-45b3a3b62c1b	unc.edu.9b5d680e-5662-442c-a8ab-5fd16551b23e.1116139.rsem.genes.normalized_results	49ce85076c221d4ebb6fd4a63aa02161	433352	live
03070f3b-fa4f-464a-af5e-3015e4edf679	unc.edu.eb398b00-8669-4c22-8285-03cdf76436f3.2116195.rsem.genes.normalized_results	f1e35aea9de483c5387eb47e3f2c985d	436259	live
03706074-2994-467f-bfc7-085778cdd860	unc.edu.3b042185-867f-492b-a448-7c51e05f9b42.1386171.rsem.genes.results	ef018bab3f197586e84adeb2c5d9aa13	1529259	live
03728934-746e-4760-8a2b-ed6eeb4121df	unc.edu.e3b4918d-43c1-4dde-9a92-f9c5cd6e63a0.1153728.rsem.genes.results	e56c7ebfbb44242c85d08969f395f646	1511972	live
03aa2344-da50-4087-bcdb-9447b3911d6f	unc.edu.32e61645-eb89-49f7-9876-85b1497c7e42.2624814.rsem.genes.results	163e71f9ef4e1e16d56c3d5c44020664	1512288	live
03c90eef-e2a5-4039-849c-8e602f124c3a	unc.edu.288c81eb-4c43-406b-a5e5-fee452a95afb.1133008.rsem.genes.normalized_results	6f5c40e6231ec1ba2af7f6fc53f34a7f	436307	live
03f19d26-37d8-439e-8f0f-d112537d3574	UNCID_608539.TCGA-BH-A0AY-01A-21R-A00Z-07.110225_SN254_0195_A81LH6ABXX.8.trimmed.annotated.gene.quantification.txt	b102b8810f406a2132bbb2d91f1c1044	980373	live
041b6c4e-ee4c-463f-955a-a209962e9539	UNCID_477099.TCGA-A2-A0EN-01A-13R-A084-07.110406_UNC13-SN749_0049_AC008AABXX.3.trimmed.annotated.gene.quantification.txt	d2b24fe2ea214a9b393e6c87335de653	1004414	live
041c5d46-f048-4ed5-99ee-19514b4e4e25	unc.edu.1766e42e-f8cf-447d-a694-3999a1fec43a.1154887.rsem.genes.normalized_results	86fc5f5be78523284c260a884827d9d0	435112	live
042effbb-deab-4358-b507-4ef0c0007789	unc.edu.3049e9ab-8e65-4264-865a-b7a14e27aae1.1172962.rsem.genes.results	fb89fbda361402dfb1daa278d196a7d7	1525187	live
04590947-3b07-4a1b-af3f-7536ae84a47e	unc.edu.376c13fa-ba3e-4f2e-a8bc-87fb70541239.1133080.rsem.genes.normalized_results	dc96d01fe9e9c0c9a5b6fd1b96d30a7b	434410	live
04ea3d3b-ebdf-44f1-aa4b-37599c47c45a	unc.edu.2aa34033-a6f5-45a8-833b-b433352e58ba.1134776.rsem.genes.results	24e639c6055da8f6932b9ae4ee432efd	1531868	live
05474a18-0332-45cb-a0c1-6939981cdf4f	UNCID_591780.TCGA-A2-A25C-01A-11R-A169-07.110919_UNC12-SN629_0141_AB0104ABXX.2.trimmed.annotated.gene.quantification.txt	d6c691ba2e32c44beac99dae1120a382	990548	live
057e77d0-d23e-4ce6-83d9-3482ed9b475b	unc.edu.001773a6-9cf3-48a1-8ea1-1f0da4991bc5.2513024.rsem.genes.results	f2140ed4efdf32b70433134ab2daf24f	1517893	live
05ab88cd-7b48-4914-b4fa-fa3a995c8d2c	unc.edu.2d51ae30-4c8a-4c99-b216-fc4fbda0fbb6.1133290.rsem.genes.normalized_results	41122fc7b3f54bc74d21cd611de96cd4	434725	live
05c5a5ca-f904-410c-920f-729ffe4260bb	unc.edu.76f171dd-1980-4504-8dc2-d8c8264458c9.2089446.rsem.genes.results	5bdfa4d32d1b38ecc9c945d07f481f83	1507654	live
05e35fcc-75cb-4542-8efd-0d60c66aea4b	UNCID_420766.TCGA-BH-A0EA-01A-11R-A115-07.110608_SN254_0230_AC03JGABXX.5.trimmed.annotated.gene.quantification.txt	f3933f238d332a53247ac6c2e7bd038d	982233	live
05e72c74-dca2-46e2-b88f-7c95b1970077	UNCID_844720.TCGA-BH-A1FH-01A-12R-A13Q-07.110921_UNC9-SN296_0242_AD0DDEABXX.5.trimmed.annotated.gene.quantification.txt	9feace082f40c755c4751d32075deb8c	1005168	live
